Received Time,Timestamp,RSSI,SNR,SF,Frequency,Airtime
2024-11-24 13:35:38,401797219,-81,-7,7,904700000,0.077056s
2024-11-24 13:35:22,385219829,-89,10.8,7,904300000,0.077056s
2024-11-24 13:35:22,385219829,-79,-6.8,7,904300000,0.077056s
2024-11-24 13:34:55,358677210,-88,13,7,903900000,0.077056s
2024-11-24 13:34:55,358677210,-78,-8.2,7,903900000,0.077056s
2024-11-24 13:34:47,350503006,-87,12.5,7,904900000,0.077056s
2024-11-24 13:34:47,350503006,-84,-6.5,7,904900000,0.077056s
2024-11-24 13:34:39,342328810,-88,12.5,7,903900000,0.077056s
2024-11-24 13:34:31,334154623,-87,12.8,7,905100000,0.077056s
2024-11-24 13:34:13,316827376,-89,12.5,7,904100000,0.082176s
2024-11-24 13:34:13,316827376,-80,-7.8,7,904100000,0.082176s
2024-11-24 13:33:57,300797652,-89,11,7,904300000,0.071936s
2024-11-24 13:33:57,300797652,-78,-9.5,7,904300000,0.071936s
2024-11-24 13:33:28,271514341,-90,11.2,9,905100000,0.246784s
2024-11-24 13:33:28,271514341,-86,-5,9,905100000,0.246784s
2024-11-24 13:32:29,212925527,-92,11.8,7,904500000,0.071936s
2024-11-24 13:32:29,212925527,-81,-7.2,7,904500000,0.071936s
2024-11-24 13:32:11,194181081,-92,11,7,904700000,0.071936s
2024-11-24 13:32:11,194181081,-86,-4.2,7,904700000,0.071936s
2024-11-24 13:32:03,186012903,-90,11.8,7,905300000,0.071936s
2024-11-24 13:32:03,186012903,-87,-4,7,905300000,0.071936s
2024-11-24 13:31:54,177845006,-90,11.5,7,905100000,0.082176s
2024-11-24 13:31:38,161375288,-88,12.2,7,903900000,0.071936s
2024-11-24 13:31:38,161375288,-80,-6,7,903900000,0.071936s
2024-11-24 13:31:07,130382468,-100,5,7,904700000,0.071936s
2024-11-24 13:30:50,113038585,-97,9,7,903900000,0.071936s
2024-11-24 13:30:32,95912373,-96,8.8,7,904900000,0.071936s
2024-11-24 13:30:16,79216437,-98,7.2,7,905100000,0.071936s
2024-11-24 13:29:59,62463117,-102,5,7,904500000,0.071936s
2024-11-24 13:29:42,45783066,-91,11,7,904300000,0.071936s
2024-11-24 13:29:26,29097132,-93,10.5,7,905300000,0.071936s
2024-11-24 13:29:09,12079876,-92,11,7,905100000,0.077056s
2024-11-24 13:28:52,4290656553,-89,12.5,7,904900000,0.071936s
2024-11-24 13:28:52,4290656553,-86,-6.5,7,904900000,0.071936s
2024-11-24 13:28:35,4273473818,-90,11.5,7,904100000,0.071936s
2024-11-24 13:28:35,4273473818,-80,-6.2,7,904100000,0.071936s
2024-11-24 13:28:18,4256827376,-91,11.8,7,905300000,0.071936s
